storageLocation,category,family,itemColorKey,itemModel,color,size,ItemSKUKey,retailFP,outletFP,outletDiscount,currentOutletPrice,sumofTotalStock
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0LA3YP6001,BOXY FIT HOODIE WITH POCKET BASE,BLACK,XXL,BMJ0LA3YP6001XXL,"$1,800.00",$900.00,0%,$900.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0LAG1WX267,BOXY FIT HOODIE WITH POCKET BASE,CLAY,XL,BMJ0LAG1WX267XL,"$1,000.00",$525.00,0%,$525.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0LAG1WX267,BOXY FIT HOODIE WITH POCKET BASE,CLAY,XXL,BMJ0LAG1WX267XXL,"$1,000.00",$525.00,0%,$525.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0LC3YL0001,BOXY FIT SWEATSHIRT BASE,BLACK,L,BMJ0LC3YL0001L,"$1,100.00",$550.00,0%,$550.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0LD3YL1420,HOODIE ULTRA FIT BASE,MEDIUM BLUE,M,BMJ0LD3YL1420M,"$1,600.00",$800.00,0%,$800.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0LD3YL1420,HOODIE ULTRA FIT BASE,MEDIUM BLUE,L,BMJ0LD3YL1420L,"$1,600.00",$800.00,0%,$800.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0LD3YL1420,HOODIE ULTRA FIT BASE,MEDIUM BLUE,XL,BMJ0LD3YL1420XL,"$1,600.00",$800.00,0%,$800.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0LD3YL1420,HOODIE ULTRA FIT BASE,MEDIUM BLUE,XXL,BMJ0LD3YL1420XXL,"$1,600.00",$800.00,0%,$800.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0M73YL5341,SHORTER ULTRA FIT POCKET RAGLAN SLEEVES,AQUA GREEN,S,BMJ0M73YL5341S,$950.00,$475.00,0%,$475.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0M73YL5341,SHORTER ULTRA FIT POCKET RAGLAN SLEEVES,AQUA GREEN,M,BMJ0M73YL5341M,$950.00,$475.00,0%,$475.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0M73YL5341,SHORTER ULTRA FIT POCKET RAGLAN SLEEVES,AQUA GREEN,L,BMJ0M73YL5341L,$950.00,$475.00,0%,$475.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0M73YL5341,SHORTER ULTRA FIT POCKET RAGLAN SLEEVES,AQUA GREEN,XL,BMJ0M73YL5341XL,$950.00,$475.00,0%,$475.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0MC3YL6055,SLIM FIT SWEATSHIRT WITH RAGLAN SLEEVES,LIGHT GREY MELANGE,L,BMJ0MC3YL6055L,$920.00,$460.00,0%,$460.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0MP3YMB105,SIMPLE TRACKSUIT JACKET,IVORY,XS,BMJ0MP3YMB105XS,"$1,950.00",$975.00,0%,$975.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0MP3YMB105,SIMPLE TRACKSUIT JACKET,IVORY,S,BMJ0MP3YMB105S,"$1,950.00",$975.00,0%,$975.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0MP3YMB105,SIMPLE TRACKSUIT JACKET,IVORY,L,BMJ0MP3YMB105L,"$1,950.00",$975.00,0%,$975.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0MP3YMB105,SIMPLE TRACKSUIT JACKET,IVORY,XL,BMJ0MP3YMB105XL,"$1,950.00",$975.00,0%,$975.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0MP3YMC001,SIMPLE TRACKSUIT JACKET,BLACK,XS,BMJ0MP3YMC001XS,"$1,950.00",$975.00,0%,$975.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWEATSHIRT,BMJ0MQ3YN7101,CARDIGAN FELPA,NATURAL,XS,BMJ0MQ3YN7101XS,"$1,100.00",$550.00,0%,$550.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWIMWEAR,BMA00N1453736,LONG SWIMWEAR,SUNFLOWER,M,BMA00N1453736M,$650.00,$325.00,20%,$260.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWIMWEAR,BMA00N1453736,LONG SWIMWEAR,SUNFLOWER,L,BMA00N1453736L,$650.00,$325.00,20%,$260.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWIMWEAR,BMA0111YDV003,PLAGE LONG SWIMSHORTS,BLACK/YELLOW,S,BMA0111YDV003S,$690.00,$345.00,20%,$276.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWIMWEAR,BMA0111YDV003,PLAGE LONG SWIMSHORTS,BLACK/YELLOW,M,BMA0111YDV003M,$690.00,$345.00,20%,$276.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWIMWEAR,BMA0111YDV003,PLAGE LONG SWIMSHORTS,BLACK/YELLOW,L,BMA0111YDV003L,$690.00,$345.00,20%,$276.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWIMWEAR,BMA0111YDV003,PLAGE LONG SWIMSHORTS,BLACK/YELLOW,XL,BMA0111YDV003XL,$690.00,$345.00,20%,$276.00,1
US - OUTLET NY WOODBURY				,MEN RTW,SWIMWEAR,BMA0111YDV003,PLAGE LONG SWIMSHORTS,BLACK/YELLOW,XXL,BMA0111YDV003XXL,$690.00,$345.00,20%,$276.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM50ST5Y4V415,SLIM FIT 5 POCKET TROUSERS,INDIGO BLUE,29,BM50ST5Y4V41529,$870.00,$435.00,40%,$261.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM50ST5Y4V415,SLIM FIT 5 POCKET TROUSERS,INDIGO BLUE,30,BM50ST5Y4V41530,$870.00,$435.00,40%,$261.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM50ST5Y4V415,SLIM FIT 5 POCKET TROUSERS,INDIGO BLUE,31,BM50ST5Y4V41531,$870.00,$435.00,40%,$261.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM50ST5Y4V415,SLIM FIT 5 POCKET TROUSERS,INDIGO BLUE,32,BM50ST5Y4V41532,$870.00,$435.00,40%,$261.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM50ST5Y4V415,SLIM FIT 5 POCKET TROUSERS,INDIGO BLUE,33,BM50ST5Y4V41533,$870.00,$435.00,40%,$261.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM50ST5Y4V415,SLIM FIT 5 POCKET TROUSERS,INDIGO BLUE,34,BM50ST5Y4V41534,$870.00,$435.00,40%,$261.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM50ST5Y4V415,SLIM FIT 5 POCKET TROUSERS,INDIGO BLUE,36,BM50ST5Y4V41536,$870.00,$435.00,40%,$261.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM50TJ14NX058,SLIM FIT TROUSERS W/ ELASTIC WAIST,PEARL GREY,52,BM50TJ14NX05852,$950.00,$475.00,0%,$475.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM50UM100H001,CLASSIC FIT TROUSERS W/ SATIN WAIST BAND,BLACK,54,BM50UM100H00154,$960.00,$480.00,0%,$480.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM50WB3YMG001,SLIM FIT EMBROIDERED TROUSERS,BLACK,XS,BM50WB3YMG001XS,"$1,100.00",$585.00,0%,$585.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM50WB3YMG001,SLIM FIT EMBROIDERED TROUSERS,BLACK,S,BM50WB3YMG001S,"$1,100.00",$585.00,0%,$585.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM50WB3YMG001,SLIM FIT EMBROIDERED TROUSERS,BLACK,M,BM50WB3YMG001M,"$1,100.00",$585.00,0%,$585.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM50WB3YMG001,SLIM FIT EMBROIDERED TROUSERS,BLACK,XL,BM50WB3YMG001XL,"$1,100.00",$585.00,0%,$585.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM50WB3YMG001,SLIM FIT EMBROIDERED TROUSERS,BLACK,XXL,BM50WB3YMG001XXL,"$1,100.00",$585.00,0%,$585.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM514650KK001,LOW CROTCH WIDE DENIM PANT,BLACK,33,BM514650KK00133,$950.00,$475.00,20%,$380.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM514650KK001,LOW CROTCH WIDE DENIM PANT,BLACK,34,BM514650KK00134,$950.00,$475.00,20%,$380.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51465Y4V415,LOW CROTCH WIDE DENIM PANT,INDIGO BLUE,34,BM51465Y4V41534,"$1,100.00",$550.00,40%,$330.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM515J3162118,NEW BOARD SHORTS,WHITE/BEIGE,S,BM515J3162118S,"$1,050.00",$525.00,20%,$420.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM515J3162118,NEW BOARD SHORTS,WHITE/BEIGE,M,BM515J3162118M,"$1,050.00",$525.00,20%,$420.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM515J3162118,NEW BOARD SHORTS,WHITE/BEIGE,L,BM515J3162118L,"$1,050.00",$525.00,20%,$420.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM515J3162118,NEW BOARD SHORTS,WHITE/BEIGE,XL,BM515J3162118XL,"$1,050.00",$525.00,20%,$420.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM515J3162118,NEW BOARD SHORTS,WHITE/BEIGE,XXL,BM515J3162118XXL,"$1,050.00",$525.00,20%,$420.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM515J3YMW055,NEW BOARD SHORTS,LIGHT GREY MELANGE,M,BM515J3YMW055M,$650.00,$325.00,0%,$325.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM517E5Y4V415,LOOSE FIT PANT W/ CARGO POCKET AND ZIP,INDIGO BLUE,30,BM517E5Y4V41530,"$1,400.00",$700.00,40%,$420.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM517E5Y4V415,LOOSE FIT PANT W/ CARGO POCKET AND ZIP,INDIGO BLUE,32,BM517E5Y4V41532,"$1,400.00",$700.00,40%,$420.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM517E5Y4V415,LOOSE FIT PANT W/ CARGO POCKET AND ZIP,INDIGO BLUE,33,BM517E5Y4V41533,"$1,400.00",$700.00,40%,$420.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM517E5Y4V415,LOOSE FIT PANT W/ CARGO POCKET AND ZIP,INDIGO BLUE,36,BM517E5Y4V41536,"$1,400.00",$700.00,40%,$420.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM517E5Y4V415,LOOSE FIT PANT W/ CARGO POCKET AND ZIP,INDIGO BLUE,38,BM517E5Y4V41538,"$1,400.00",$700.00,40%,$420.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51863YAC001,BOXY FIT SHORT,BLACK,L,BM51863YAC001L,$720.00,$380.00,40%,$228.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51863YEL001,BOXY FIT SHORT,BLACK,XS,BM51863YEL001XS,$850.00,$450.00,0%,$450.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51863YEL001,BOXY FIT SHORT,BLACK,S,BM51863YEL001S,$850.00,$450.00,0%,$450.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51863YEL001,BOXY FIT SHORT,BLACK,M,BM51863YEL001M,$850.00,$450.00,0%,$450.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51863YEL001,BOXY FIT SHORT,BLACK,L,BM51863YEL001L,$850.00,$450.00,0%,$450.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51863YEL001,BOXY FIT SHORT,BLACK,XL,BM51863YEL001XL,$850.00,$450.00,0%,$450.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51863YEL001,BOXY FIT SHORT,BLACK,XXL,BM51863YEL001XXL,$850.00,$450.00,0%,$450.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51AH15LR410,BEACH CASUAL PANT,NAVY,48,BM51AH15LR41048,"$1,800.00",$900.00,20%,$720.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51AH15LR410,BEACH CASUAL PANT,NAVY,50,BM51AH15LR41050,"$1,800.00",$900.00,20%,$720.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51AH15LR410,BEACH CASUAL PANT,NAVY,52,BM51AH15LR41052,"$1,800.00",$900.00,20%,$720.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51AH15LR410,BEACH CASUAL PANT,NAVY,54,BM51AH15LR41054,"$1,800.00",$900.00,20%,$720.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51AH15LR410,BEACH CASUAL PANT,NAVY,56,BM51AH15LR41056,"$1,800.00",$900.00,20%,$720.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51BY151E003,FORMAL ELASTICATED SHORTS,BLACK/YELLOW,46,BM51BY151E00346,$890.00,$445.00,20%,$356.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51BY151E003,FORMAL ELASTICATED SHORTS,BLACK/YELLOW,48,BM51BY151E00348,$890.00,$445.00,20%,$356.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51BY151E003,FORMAL ELASTICATED SHORTS,BLACK/YELLOW,50,BM51BY151E00350,$890.00,$445.00,20%,$356.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51BY151E003,FORMAL ELASTICATED SHORTS,BLACK/YELLOW,52,BM51BY151E00352,$890.00,$445.00,20%,$356.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51CR50KK001,STUDDED CARPENTER,BLACK,32,BM51CR50KK00132,"$1,250.00",$625.00,0%,$625.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DA3YL0100,CASUAL SWEATPANT W/ ELASTICATED BOTTOM,WHITE,XS,BM51DA3YL0100XS,"$1,350.00",$675.00,40%,$405.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DA3YL0100,CASUAL SWEATPANT W/ ELASTICATED BOTTOM,WHITE,S,BM51DA3YL0100S,"$1,350.00",$675.00,40%,$405.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DA3YL0100,CASUAL SWEATPANT W/ ELASTICATED BOTTOM,WHITE,M,BM51DA3YL0100M,"$1,350.00",$675.00,40%,$405.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DA3YL0100,CASUAL SWEATPANT W/ ELASTICATED BOTTOM,WHITE,L,BM51DA3YL0100L,"$1,350.00",$675.00,40%,$405.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DA3YL0100,CASUAL SWEATPANT W/ ELASTICATED BOTTOM,WHITE,XL,BM51DA3YL0100XL,"$1,350.00",$675.00,40%,$405.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DA3YL0100,CASUAL SWEATPANT W/ ELASTICATED BOTTOM,WHITE,XXL,BM51DA3YL0100XXL,"$1,350.00",$675.00,40%,$405.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DD5Y8X415,CLASSIC SLIM FIT PANTS,INDIGO BLUE,29,BM51DD5Y8X41529,$790.00,$395.00,40%,$237.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DD5Y8X415,CLASSIC SLIM FIT PANTS,INDIGO BLUE,30,BM51DD5Y8X41530,$790.00,$395.00,40%,$237.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DD5Y8X415,CLASSIC SLIM FIT PANTS,INDIGO BLUE,31,BM51DD5Y8X41531,$790.00,$395.00,40%,$237.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DD5Y8X415,CLASSIC SLIM FIT PANTS,INDIGO BLUE,32,BM51DD5Y8X41532,$790.00,$395.00,40%,$237.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DD5Y8X415,CLASSIC SLIM FIT PANTS,INDIGO BLUE,33,BM51DD5Y8X41533,$790.00,$395.00,40%,$237.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DD5Y8X415,CLASSIC SLIM FIT PANTS,INDIGO BLUE,34,BM51DD5Y8X41534,$790.00,$395.00,40%,$237.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DD5Y8X415,CLASSIC SLIM FIT PANTS,INDIGO BLUE,36,BM51DD5Y8X41536,$790.00,$395.00,40%,$237.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DD5Y8X415,CLASSIC SLIM FIT PANTS,INDIGO BLUE,38,BM51DD5Y8X41538,$790.00,$395.00,40%,$237.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DF14DL410,DAY PANT,NAVY,50,BM51DF14DL41050,"$1,150.00",$575.00,40%,$345.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DG14FU067,FORMAL JOGGER,GREY MIX,48,BM51DG14FU06748,"$1,150.00",$575.00,40%,$345.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DG14FU067,FORMAL JOGGER,GREY MIX,50,BM51DG14FU06750,"$1,150.00",$575.00,40%,$345.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DG14FU067,FORMAL JOGGER,GREY MIX,56,BM51DG14FU06756,"$1,150.00",$575.00,40%,$345.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DW15FH001,PLEATED EXTRA LARGE CHINO,BLACK,46,BM51DW15FH00146,"$1,200.00",$600.00,20%,$480.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DW15FH001,PLEATED EXTRA LARGE CHINO,BLACK,48,BM51DW15FH00148,"$1,200.00",$600.00,20%,$480.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DW15FH001,PLEATED EXTRA LARGE CHINO,BLACK,50,BM51DW15FH00150,"$1,200.00",$600.00,20%,$480.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DW15FH001,PLEATED EXTRA LARGE CHINO,BLACK,52,BM51DW15FH00152,"$1,200.00",$600.00,20%,$480.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DW15FH001,PLEATED EXTRA LARGE CHINO,BLACK,54,BM51DW15FH00154,"$1,200.00",$600.00,20%,$480.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DW15FH001,PLEATED EXTRA LARGE CHINO,BLACK,56,BM51DW15FH00156,"$1,200.00",$600.00,20%,$480.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DW15FH250,PLEATED EXTRA LARGE CHINO,BEIGE,46,BM51DW15FH25046,"$1,200.00",$600.00,20%,$480.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DW15FH250,PLEATED EXTRA LARGE CHINO,BEIGE,48,BM51DW15FH25048,"$1,200.00",$600.00,20%,$480.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DW15FH250,PLEATED EXTRA LARGE CHINO,BEIGE,50,BM51DW15FH25050,"$1,200.00",$600.00,20%,$480.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DW15FH250,PLEATED EXTRA LARGE CHINO,BEIGE,52,BM51DW15FH25052,"$1,200.00",$600.00,20%,$480.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DW15FH250,PLEATED EXTRA LARGE CHINO,BEIGE,54,BM51DW15FH25054,"$1,200.00",$600.00,20%,$480.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DW15FH250,PLEATED EXTRA LARGE CHINO,BEIGE,56,BM51DW15FH25056,"$1,200.00",$600.00,20%,$480.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DZ5Y98451,CUTTED BELT LOW RISE DENIM SHORTS,PALE BLUE,31,BM51DZ5Y9845131,$920.00,$460.00,20%,$368.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DZ5Y9Y999,CUTTED BELT LOW RISE DENIM SHORTS,RTD / GREIGE,30,BM51DZ5Y9Y99930,$920.00,$460.00,20%,$368.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DZ5Y9Y999,CUTTED BELT LOW RISE DENIM SHORTS,RTD / GREIGE,31,BM51DZ5Y9Y99931,$920.00,$460.00,20%,$368.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DZ5Y9Y999,CUTTED BELT LOW RISE DENIM SHORTS,RTD / GREIGE,32,BM51DZ5Y9Y99932,$920.00,$460.00,20%,$368.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DZ5Y9Y999,CUTTED BELT LOW RISE DENIM SHORTS,RTD / GREIGE,33,BM51DZ5Y9Y99933,$920.00,$460.00,20%,$368.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DZ5Y9Y999,CUTTED BELT LOW RISE DENIM SHORTS,RTD / GREIGE,34,BM51DZ5Y9Y99934,$920.00,$460.00,20%,$368.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DZ5Y9Y999,CUTTED BELT LOW RISE DENIM SHORTS,RTD / GREIGE,36,BM51DZ5Y9Y99936,$920.00,$460.00,20%,$368.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DZ5Y9Z001,CUTTED BELT LOW RISE DENIM SHORTS,BLACK,30,BM51DZ5Y9Z00130,"$1,050.00",$525.00,20%,$420.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DZ5Y9Z001,CUTTED BELT LOW RISE DENIM SHORTS,BLACK,32,BM51DZ5Y9Z00132,"$1,050.00",$525.00,20%,$420.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51DZ5Y9Z001,CUTTED BELT LOW RISE DENIM SHORTS,BLACK,34,BM51DZ5Y9Z00134,"$1,050.00",$525.00,20%,$420.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E3513R001,ROUND REGULAR FIT 5 POCKETS DENIM,BLACK,31,BM51E3513R00131,"$1,200.00",$600.00,0%,$600.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E3513R001,ROUND REGULAR FIT 5 POCKETS DENIM,BLACK,32,BM51E3513R00132,"$1,200.00",$600.00,0%,$600.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E3513R001,ROUND REGULAR FIT 5 POCKETS DENIM,BLACK,33,BM51E3513R00133,"$1,200.00",$600.00,0%,$600.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E3513R001,ROUND REGULAR FIT 5 POCKETS DENIM,BLACK,34,BM51E3513R00134,"$1,200.00",$600.00,0%,$600.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E3513R001,ROUND REGULAR FIT 5 POCKETS DENIM,BLACK,36,BM51E3513R00136,"$1,200.00",$600.00,0%,$600.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E3513R001,ROUND REGULAR FIT 5 POCKETS DENIM,BLACK,38,BM51E3513R00138,"$1,200.00",$600.00,0%,$600.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E35Y98451,ROUND REGULAR FIT 5 POCKETS DENIM,PALE BLUE,31,BM51E35Y9845131,"$1,050.00",$525.00,20%,$420.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E35Y98451,ROUND REGULAR FIT 5 POCKETS DENIM,PALE BLUE,33,BM51E35Y9845133,"$1,050.00",$525.00,20%,$420.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E35Y98451,ROUND REGULAR FIT 5 POCKETS DENIM,PALE BLUE,36,BM51E35Y9845136,"$1,050.00",$525.00,20%,$420.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E35Y9G420,ROUND REGULAR FIT 5 POCKETS DENIM,MEDIUM BLUE,29,BM51E35Y9G42029,"$1,150.00",$575.00,20%,$460.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E35Y9G420,ROUND REGULAR FIT 5 POCKETS DENIM,MEDIUM BLUE,30,BM51E35Y9G42030,"$1,150.00",$575.00,20%,$460.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E35Y9G420,ROUND REGULAR FIT 5 POCKETS DENIM,MEDIUM BLUE,31,BM51E35Y9G42031,"$1,150.00",$575.00,20%,$460.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E35Y9G420,ROUND REGULAR FIT 5 POCKETS DENIM,MEDIUM BLUE,32,BM51E35Y9G42032,"$1,150.00",$575.00,20%,$460.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E35Y9G420,ROUND REGULAR FIT 5 POCKETS DENIM,MEDIUM BLUE,33,BM51E35Y9G42033,"$1,150.00",$575.00,20%,$460.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E35Y9G420,ROUND REGULAR FIT 5 POCKETS DENIM,MEDIUM BLUE,34,BM51E35Y9G42034,"$1,150.00",$575.00,20%,$460.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E35Y9G420,ROUND REGULAR FIT 5 POCKETS DENIM,MEDIUM BLUE,36,BM51E35Y9G42036,"$1,150.00",$575.00,20%,$460.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E35YA3415,ROUND REGULAR FIT 5 POCKETS DENIM,INDIGO BLUE,29,BM51E35YA341529,$950.00,$475.00,20%,$380.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E35YA3415,ROUND REGULAR FIT 5 POCKETS DENIM,INDIGO BLUE,30,BM51E35YA341530,$950.00,$475.00,20%,$380.00,1
US - OUTLET NY WOODBURY				,MEN RTW,TROUSERS,BM51E35YA3415,ROUND REGULAR FIT 5 POCKETS DENIM,INDIGO BLUE,31,BM51E35YA341531,$950.00,$475.00,20%,$380.00,1
